Machine,Store,Journal,Hyp,Hyp_Sched,VM_Sched,RCU,F_size,R_Size,Threads,Mode,Freq,Throughput
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,4290809.31
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,4408640.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,4506117.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5723118.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5200233.88
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,6860677.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,3916807.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5570838.88
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5387046.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,4784863.94
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5480958.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5112384.88
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5922978.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5154833.81
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5575283.88
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5604799.81
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,6354969.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,6492432.38
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5725969.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,4361337.06
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,4744011.31
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5710718.06
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5311535.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,6046325.69
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,4848158.38
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5741984.56
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,6022458.88
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,6637551.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,6011046.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5603822.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5428886.38
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,6020980.38
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5905461.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5971060.38
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,4764182.19
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,4469088.75
