,host,media,freq,fsize,rsize,threads,iter,subiter,test,throughput,runtime
2232,m03,SSD,1200000,32768,1024,16,68,3,random-readers,9650293.14,21
2233,m03,SSD,1200000,32768,1024,16,68,4,random-writers,5207381.77,21
1374,m03,SSD,1200000,32768,1024,16,69,1,initial-writers,2716260.48,21
1375,m03,SSD,1200000,32768,1024,16,69,2,rewriters,5105359.76,21
1376,m03,SSD,1200000,32768,1024,16,69,3,random-readers,12574231.95,21
1377,m03,SSD,1200000,32768,1024,16,69,4,random-writers,5235822.27,21
814,m03,SSD,1200000,32768,1024,16,70,1,initial-writers,2413681.65,21
815,m03,SSD,1200000,32768,1024,16,70,2,rewriters,5447638.75,21
816,m03,SSD,1200000,32768,1024,16,70,3,random-readers,13989310.56,21
817,m03,SSD,1200000,32768,1024,16,70,4,random-writers,5736896.44,21
78,m03,SSD,1200000,32768,1024,16,71,1,initial-writers,2673425.03,21
79,m03,SSD,1200000,32768,1024,16,71,2,rewriters,5024975.14,21
80,m03,SSD,1200000,32768,1024,16,71,3,random-readers,10687515.48,21
81,m03,SSD,1200000,32768,1024,16,71,4,random-writers,5748320.19,21
6410,m03,SSD,1200000,32768,1024,16,72,1,initial-writers,2689204.05,21
6411,m03,SSD,1200000,32768,1024,16,72,2,rewriters,5325275.12,21
6412,m03,SSD,1200000,32768,1024,16,72,3,random-readers,12411136.70,21
6413,m03,SSD,1200000,32768,1024,16,72,4,random-writers,5216797.28,21
4380,m03,SSD,1200000,32768,1024,16,73,1,initial-writers,2748532.55,21
4381,m03,SSD,1200000,32768,1024,16,73,2,rewriters,5222592.16,21
4382,m03,SSD,1200000,32768,1024,16,73,3,random-readers,9635223.81,21
4383,m03,SSD,1200000,32768,1024,16,73,4,random-writers,5627689.12,21
8364,m03,SSD,1200000,32768,1024,16,74,1,initial-writers,2740491.35,21
8365,m03,SSD,1200000,32768,1024,16,74,2,rewriters,4919240.66,21
8366,m03,SSD,1200000,32768,1024,16,74,3,random-readers,14364032.25,21
8367,m03,SSD,1200000,32768,1024,16,74,4,random-writers,5617032.31,21
5740,m03,SSD,1200000,32768,1024,16,75,1,initial-writers,2763397.38,21
5741,m03,SSD,1200000,32768,1024,16,75,2,rewriters,4785602.31,21
5742,m03,SSD,1200000,32768,1024,16,75,3,random-readers,13177210.12,21
5743,m03,SSD,1200000,32768,1024,16,75,4,random-writers,5478753.36,21
3788,m03,SSD,1200000,32768,1024,16,76,1,initial-writers,2730925.81,21
3789,m03,SSD,1200000,32768,1024,16,76,2,rewriters,5292619.81,21
3790,m03,SSD,1200000,32768,1024,16,76,3,random-readers,12670761.69,21
3791,m03,SSD,1200000,32768,1024,16,76,4,random-writers,5669727.06,21
7906,m03,SSD,1200000,32768,1024,16,77,1,initial-writers,2766193.56,21
7907,m03,SSD,1200000,32768,1024,16,77,2,rewriters,5038188.41,21
7908,m03,SSD,1200000,32768,1024,16,77,3,random-readers,11349533.44,21
7909,m03,SSD,1200000,32768,1024,16,77,4,random-writers,5244041.75,21
2854,m03,SSD,1200000,32768,1024,16,78,1,initial-writers,2798004.58,21
2855,m03,SSD,1200000,32768,1024,16,78,2,rewriters,5545028.97,21
2856,m03,SSD,1200000,32768,1024,16,78,3,random-readers,12175662.59,21
2857,m03,SSD,1200000,32768,1024,16,78,4,random-writers,5589477.66,21
2188,m03,SSD,1200000,32768,1024,16,79,1,initial-writers,2587442.73,21
2189,m03,SSD,1200000,32768,1024,16,79,2,rewriters,5243545.98,21
2190,m03,SSD,1200000,32768,1024,16,79,3,random-readers,11629720.95,21
2191,m03,SSD,1200000,32768,1024,16,79,4,random-writers,5804692.59,21
1178,m03,SSD,1200000,32768,1024,16,80,1,initial-writers,2701099.23,21
1179,m03,SSD,1200000,32768,1024,16,80,2,rewriters,5313972.09,21
1180,m03,SSD,1200000,32768,1024,16,80,3,random-readers,8700952.70,21
1181,m03,SSD,1200000,32768,1024,16,80,4,random-writers,5676972.52,21
7348,m03,SSD,1200000,32768,1024,16,81,1,initial-writers,2729708.69,21
7349,m03,SSD,1200000,32768,1024,16,81,2,rewriters,5534658.88,21
7350,m03,SSD,1200000,32768,1024,16,81,3,random-readers,11585737.72,21
7351,m03,SSD,1200000,32768,1024,16,81,4,random-writers,5924693.88,21
4316,m03,SSD,1200000,32768,1024,16,82,1,initial-writers,2732094.75,20
4317,m03,SSD,1200000,32768,1024,16,82,2,rewriters,4970049.56,20
