data,host,media,freq,fsize,rsize,threads,test,iter,throughput,runtime
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,147,4331945.33,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,148,4748683.12,20
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,149,4220248.34,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,150,4281792.08,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,1,6704166.47,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,2,6752557.09,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,3,6793800.69,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,4,6149747.22,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,5,6315641.56,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,6,6734919.28,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,7,6350767.78,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,8,6408145.92,20
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,9,6455334.34,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,10,6904826.28,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,11,6809222.97,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,12,6719447.84,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,13,6029948.81,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,14,6597208.0,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,15,5955365.69,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,16,6372540.09,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,17,5656052.47,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,18,6388517.19,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,19,5757200.81,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,20,6348547.75,22
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,21,5987430.88,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,22,6294204.0,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,23,6097410.09,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,24,6400466.88,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,25,6123822.78,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,rewriters,26,5791896.72,21
