,host,media,freq,fsize,rsize,threads,iter,subiter,test,throughput,runtime
9516,m03,SSD,1200000,32768,1024,16,70,3,random-readers,14587124.20,21
9517,m03,SSD,1200000,32768,1024,16,70,4,random-writers,6093814.23,21
8778,m03,SSD,1200000,32768,1024,16,71,1,initial-writers,4504154.52,21
8779,m03,SSD,1200000,32768,1024,16,71,2,rewriters,5482585.31,21
8780,m03,SSD,1200000,32768,1024,16,71,3,random-readers,13915844.62,21
8781,m03,SSD,1200000,32768,1024,16,71,4,random-writers,5621965.53,21
15110,m03,SSD,1200000,32768,1024,16,72,1,initial-writers,4484190.75,20
15111,m03,SSD,1200000,32768,1024,16,72,2,rewriters,5497945.56,20
15112,m03,SSD,1200000,32768,1024,16,72,3,random-readers,12668792.92,20
15113,m03,SSD,1200000,32768,1024,16,72,4,random-writers,5910283.58,20
13080,m03,SSD,1200000,32768,1024,16,73,1,initial-writers,4524003.94,21
13081,m03,SSD,1200000,32768,1024,16,73,2,rewriters,5421839.75,21
13082,m03,SSD,1200000,32768,1024,16,73,3,random-readers,11745480.05,21
13083,m03,SSD,1200000,32768,1024,16,73,4,random-writers,5669270.70,21
17064,m03,SSD,1200000,32768,1024,16,74,1,initial-writers,4585730.41,20
17065,m03,SSD,1200000,32768,1024,16,74,2,rewriters,5067604.06,20
17066,m03,SSD,1200000,32768,1024,16,74,3,random-readers,13466060.09,20
17067,m03,SSD,1200000,32768,1024,16,74,4,random-writers,5965248.77,20
14440,m03,SSD,1200000,32768,1024,16,75,1,initial-writers,4509126.25,20
14441,m03,SSD,1200000,32768,1024,16,75,2,rewriters,5541996.12,20
14442,m03,SSD,1200000,32768,1024,16,75,3,random-readers,15975005.62,20
14443,m03,SSD,1200000,32768,1024,16,75,4,random-writers,5797194.16,20
12488,m03,SSD,1200000,32768,1024,16,76,1,initial-writers,4521738.08,21
12489,m03,SSD,1200000,32768,1024,16,76,2,rewriters,5629629.75,21
12490,m03,SSD,1200000,32768,1024,16,76,3,random-readers,11308528.31,21
12491,m03,SSD,1200000,32768,1024,16,76,4,random-writers,5729111.81,21
16606,m03,SSD,1200000,32768,1024,16,77,1,initial-writers,4583138.39,21
16607,m03,SSD,1200000,32768,1024,16,77,2,rewriters,5451390.31,21
16608,m03,SSD,1200000,32768,1024,16,77,3,random-readers,10184639.06,21
