,host,media,freq,fsize,rsize,threads,iter,subiter,test,throughput,runtime,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,LLC-load-misses,LLC-loads,branch-misses,branches,context-switches,cpu-migrations,cycles,dTLB-load-misses,dTLB-loads,iTLB-load-misses,iTLB-loads,instructions,page-faults
4514,m04,SSD,1200000,32768,1024,16,21,3,random-readers,12791578.45,21,102359316,835528462,8327595,8296875,23070546,5555689,613503607,16118,1764,8322843033,358376,975242071,62726,93641,3174929940,25619
4515,m04,SSD,1200000,32768,1024,16,21,4,random-writers,5264584.67,21,102359316,835528462,8327595,8296875,23070546,5555689,613503607,16118,1764,8322843033,358376,975242071,62726,93641,3174929940,25619
4074,m04,SSD,1200000,32768,1024,16,22,1,initial-writers,4006258.28,21,93979841,943687207,9177370,6109811,18411374,6624669,615042805,21749,3539,8507113322,747711,874009143,70060,181598,2916743076,25544
4075,m04,SSD,1200000,32768,1024,16,22,2,rewriters,5766330.59,21,93979841,943687207,9177370,6109811,18411374,6624669,615042805,21749,3539,8507113322,747711,874009143,70060,181598,2916743076,25544
4076,m04,SSD,1200000,32768,1024,16,22,3,random-readers,12184841.62,21,93979841,943687207,9177370,6109811,18411374,6624669,615042805,21749,3539,8507113322,747711,874009143,70060,181598,2916743076,25544
4077,m04,SSD,1200000,32768,1024,16,22,4,random-writers,5954337.81,21,93979841,943687207,9177370,6109811,18411374,6624669,615042805,21749,3539,8507113322,747711,874009143,70060,181598,2916743076,25544
1408,m04,SSD,1200000,32768,1024,16,23,1,initial-writers,4175435.94,21,99013543,907131403,8941216,5503621,18289065,6350081,649649315,20993,2522,7959458754,817569,859703822,99350,199089,3158392872,25440
1409,m04,SSD,1200000,32768,1024,16,23,2,rewriters,5461617.78,21,99013543,907131403,8941216,5503621,18289065,6350081,649649315,20993,2522,7959458754,817569,859703822,99350,199089,3158392872,25440
1410,m04,SSD,1200000,32768,1024,16,23,3,random-readers,11778128.81,21,99013543,907131403,8941216,5503621,18289065,6350081,649649315,20993,2522,7959458754,817569,859703822,99350,199089,3158392872,25440
1411,m04,SSD,1200000,32768,1024,16,23,4,random-writers,5713006.34,21,99013543,907131403,8941216,5503621,18289065,6350081,649649315,20993,2522,7959458754,817569,859703822,99350,199089,3158392872,25440
7308,m04,SSD,1200000,32768,1024,16,24,1,initial-writers,3860799.86,21,89976875,956789536,9014087,5976201,18093658,6787851,685467391,21565,2665,8174692153,627078,784178455,66424,136188,3315459532,25477
7309,m04,SSD,1200000,32768,1024,16,24,2,rewriters,5691217.34,21,89976875,956789536,9014087,5976201,18093658,6787851,685467391,21565,2665,8174692153,627078,784178455,66424,136188,3315459532,25477
7310,m04,SSD,1200000,32768,1024,16,24,3,random-readers,13715716.22,21,89976875,956789536,9014087,5976201,18093658,6787851,685467391,21565,2665,8174692153,627078,784178455,66424,136188,3315459532,25477
7311,m04,SSD,1200000,32768,1024,16,24,4,random-writers,5529494.78,21,89976875,956789536,9014087,5976201,18093658,6787851,685467391,21565,2665,8174692153,627078,784178455,66424,136188,3315459532,25477
3282,m04,SSD,1200000,32768,1024,16,25,1,initial-writers,4105725.19,21,96516394,891352966,9504977,6087662,18552153,6057133,606535103,21087,2446,8203886263,652028,892196625,77970,167017,2986360919,25342
