Policy,Max Steps,Adaptive,Avg Max Changes,Avg Avg Changes,Avg L2,Max Changes,Avg Changes,L2
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.7240934393219897
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,2,1.1428571428571428,3.9681522644641
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.002332390923436689
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,5.949381720534054
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.39180554458671263
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,2,1.1111111111111112,0.062045969438031305
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.0046033706940904725
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,5,1.5555555555555556,0.08760888149557722
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.5050104072034493
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,2.8139587141862403
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,8,2.4444444444444446,0.08857683670883501
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,6,1.5,0.09021764573771122
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.08055796389826275
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,22.429554329973097
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,5,2.2,0.02380688213175139
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.003082356672937705
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,5,1.5,4116.277864574487
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.0009933617008540934
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,1.2055931496314818
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.01869992670788132
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,7,1.75,0.011474086339308326
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.005522024784236831
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,2,1.125,0.0036699459331561144
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,2,1.1428571428571428,0.011940776079015027
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.0023538665954967917
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.0028399410892380956
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,10,2.125,0.009979812395745559
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.0012646833689758867
