ID Media Frequency File.Size Record.Size Num.Threads Test runs distcomp disname
14961 SSD 3500000 1024 4 32 initial_writers 450 2 lnormcomp
14962 SSD 3500000 1024 4 32 rewriters 450 3 normcomp
15061 SSD 3500000 1024 4 40 initial_writers 450 3 lnormcomp
15062 SSD 3500000 1024 4 40 rewriters 450 3 lnormcomp
15161 SSD 3500000 1024 4 48 initial_writers 450 3 normcomp
15162 SSD 3500000 1024 4 48 rewriters 450 4 normcomp
15261 SSD 3500000 1024 4 56 initial_writers 450 3 normcomp
15262 SSD 3500000 1024 4 56 rewriters 450 3 lnormcomp
15361 SSD 3500000 1024 4 64 initial_writers 450 2 normcomp
15362 SSD 3500000 1024 4 64 rewriters 450 2 gammacomp
15461 SSD 3500000 1024 8 1 initial_writers 450 3 lnormcomp
15462 SSD 3500000 1024 8 1 rewriters 450 5 normcomp
15561 SSD 3500000 1024 8 8 initial_writers 450 2 lnormcomp
15562 SSD 3500000 1024 8 8 rewriters 450 4 normcomp
15661 SSD 3500000 1024 8 16 initial_writers 450 3 lnormcomp
15662 SSD 3500000 1024 8 16 rewriters 450 4 normcomp
15761 SSD 3500000 1024 8 24 initial_writers 450 1 lnormcomp
15762 SSD 3500000 1024 8 24 rewriters 450 3 normcomp
15861 SSD 3500000 1024 8 32 initial_writers 450 2 lnormcomp
15862 SSD 3500000 1024 8 32 rewriters 450 3 lnormcomp
15961 SSD 3500000 1024 8 40 initial_writers 450 2 lnormcomp
15962 SSD 3500000 1024 8 40 rewriters 450 4 normcomp
16061 SSD 3500000 1024 8 48 initial_writers 450 2 lnormcomp
16062 SSD 3500000 1024 8 48 rewriters 450 3 lnormcomp
16161 SSD 3500000 1024 8 56 initial_writers 450 2 normcomp
16162 SSD 3500000 1024 8 56 rewriters 450 3 lnormcomp
16203 SSD 3500000 1024 8 64 initial_writers 450 3 lnormcomp
16204 SSD 3500000 1024 8 64 rewriters 450 2 gammacomp
16303 SSD 3500000 1024 16 1 initial_writers 450 3 lnormcomp
16304 SSD 3500000 1024 16 1 rewriters 450 5 lnormcomp
16403 SSD 3500000 1024 16 8 initial_writers 450 2 normcomp
16404 SSD 3500000 1024 16 8 rewriters 450 4 normcomp
16503 SSD 3500000 1024 32 1 initial_writers 450 2 lnormcomp
16504 SSD 3500000 1024 32 1 rewriters 450 5 normcomp
16563 SSD 3500000 1024 16 16 initial_writers 450 3 lnormcomp
16564 SSD 3500000 1024 16 16 rewriters 450 2 normcomp
16663 SSD 3500000 1024 16 24 initial_writers 450 1 gammacomp
16664 SSD 3500000 1024 16 24 rewriters 450 4 lnormcomp
16763 SSD 3500000 1024 16 32 initial_writers 450 1 gammacomp
16764 SSD 3500000 1024 16 32 rewriters 450 4 normcomp
16863 SSD 3500000 1024 16 40 initial_writers 450 2 normcomp
16864 SSD 3500000 1024 16 40 rewriters 450 3 lnormcomp
16963 SSD 3500000 1024 16 48 initial_writers 450 3 normcomp
16964 SSD 3500000 1024 16 48 rewriters 450 2 lnormcomp
17063 SSD 3500000 1024 16 56 initial_writers 450 2 normcomp
17064 SSD 3500000 1024 16 56 rewriters 450 4 normcomp
17163 SSD 3500000 1024 16 64 initial_writers 450 2 normcomp
17164 SSD 3500000 1024 16 64 rewriters 450 2 lnormcomp
17361 SSD 3500000 1024 32 8 initial_writers 450 3 lnormcomp
17362 SSD 3500000 1024 32 8 rewriters 450 4 normcomp
17461 SSD 3500000 1024 32 16 initial_writers 450 1 gammacomp
17462 SSD 3500000 1024 32 16 rewriters 450 2 normcomp
17561 SSD 3500000 1024 32 24 initial_writers 450 2 normcomp
17562 SSD 3500000 1024 32 24 rewriters 450 3 lnormcomp
17661 SSD 3500000 1024 32 32 initial_writers 450 2 lnormcomp
17662 SSD 3500000 1024 32 32 rewriters 450 3 normcomp
17761 SSD 3500000 1024 32 40 initial_writers 450 3 normcomp
17762 SSD 3500000 1024 32 40 rewriters 450 2 lnormcomp
17861 SSD 3500000 1024 32 48 initial_writers 450 2 normcomp
17862 SSD 3500000 1024 32 48 rewriters 450 2 lnormcomp
17961 SSD 3500000 1024 32 56 initial_writers 450 2 normcomp
17962 SSD 3500000 1024 32 56 rewriters 450 2 lnormcomp
18061 SSD 3500000 1024 32 64 initial_writers 450 2 normcomp
18062 SSD 3500000 1024 32 64 rewriters 450 2 lnormcomp
18161 SSD 3500000 1024 64 1 initial_writers 450 3 lnormcomp
18162 SSD 3500000 1024 64 1 rewriters 450 5 normcomp
18261 SSD 3500000 1024 64 8 initial_writers 450 2 normcomp
18262 SSD 3500000 1024 64 8 rewriters 450 4 normcomp
18361 SSD 3500000 1024 64 16 initial_writers 450 1 gammacomp
18362 SSD 3500000 1024 64 16 rewriters 450 2 lnormcomp
18461 SSD 3500000 1024 64 24 initial_writers 450 3 lnormcomp
18462 SSD 3500000 1024 64 24 rewriters 450 2 lnormcomp
18561 SSD 3500000 1024 64 32 initial_writers 450 2 lnormcomp
18562 SSD 3500000 1024 64 32 rewriters 450 2 lnormcomp
18661 SSD 3500000 1024 64 40 initial_writers 450 2 normcomp
18662 SSD 3500000 1024 64 40 rewriters 450 2 lnormcomp
18761 SSD 3500000 1024 64 48 initial_writers 450 2 lnormcomp
18762 SSD 3500000 1024 64 48 rewriters 450 2 normcomp
18861 SSD 3500000 1024 64 56 initial_writers 450 3 normcomp
18862 SSD 3500000 1024 64 56 rewriters 450 2 gammacomp
18961 SSD 3500000 1024 64 64 initial_writers 450 2 lnormcomp
18962 SSD 3500000 1024 64 64 rewriters 450 2 gammacomp
19061 SSD 3500000 1024 128 1 initial_writers 450 3 lnormcomp
19062 SSD 3500000 1024 128 1 rewriters 450 5 lnormcomp
19161 SSD 3500000 1024 128 8 initial_writers 450 3 normcomp
19162 SSD 3500000 1024 128 8 rewriters 450 4 normcomp
19261 SSD 3500000 1024 128 16 initial_writers 450 1 gammacomp
19262 SSD 3500000 1024 128 16 rewriters 450 2 normcomp
19361 SSD 3500000 1024 128 24 initial_writers 450 1 gammacomp
19362 SSD 3500000 1024 128 24 rewriters 450 2 gammacomp
19461 SSD 3500000 1024 128 32 initial_writers 450 1 gammacomp
19462 SSD 3500000 1024 128 32 rewriters 450 2 lnormcomp
19561 SSD 3500000 1024 128 40 initial_writers 450 2 normcomp
19562 SSD 3500000 1024 128 40 rewriters 450 3 lnormcomp
19661 SSD 3500000 1024 128 48 initial_writers 450 3 normcomp
19662 SSD 3500000 1024 128 48 rewriters 450 4 normcomp
19761 SSD 3500000 1024 128 56 initial_writers 450 2 normcomp
19762 SSD 3500000 1024 128 56 rewriters 450 4 normcomp
19861 SSD 3500000 1024 128 64 initial_writers 450 2 normcomp
19862 SSD 3500000 1024 128 64 rewriters 450 3 lnormcomp
19961 SSD 3500000 1024 256 1 initial_writers 450 3 normcomp
19962 SSD 3500000 1024 256 1 rewriters 450 5 normcomp
20061 SSD 3500000 1024 256 8 initial_writers 450 2 lnormcomp
20062 SSD 3500000 1024 256 8 rewriters 450 3 normcomp
20161 SSD 3500000 1024 256 16 initial_writers 450 1 lnormcomp
20162 SSD 3500000 1024 256 16 rewriters 450 4 normcomp
20261 SSD 3500000 1024 256 24 initial_writers 450 1 gammacomp
20262 SSD 3500000 1024 256 24 rewriters 450 2 lnormcomp
20361 SSD 3500000 1024 256 32 initial_writers 450 1 gammacomp
20362 SSD 3500000 1024 256 32 rewriters 450 3 lnormcomp
20461 SSD 3500000 1024 256 40 initial_writers 450 1 weibullcomp
